12455;14;17.90
11590;130;4.50
18300;12;16.43
12689;96;17.43
14570;50;6.12
19568;88;5.25
19030;139;11.59
13026;18;41.69
16122;138;99.50
16080;94;77.03
13705;169;27.79
14620;76;66.76
11174;8;12.44
17623;28;25.46
16113;20;38.75
16662;134;88.27
13196;141;74.10
15012;144;95.11
19901;191;51.90
14759;155;26.01
13225;114;40.83
20606;200;26.32
20384;6;98.71
20937;91;41.05
19459;117;89.68
20915;180;37.89
10034;152;54.41
11005;12;13.88
15051;129;24.73
19786;166;97.74
15231;76;92.31
14541;116;10.61
17683;32;88.82
14623;27;98.61
19629;74;86.52
18368;175;78.43
20511;67;94.48
10258;149;82.39
15190;108;84.91
14273;77;70.22
18257;120;64.12
20937;103;97.54
10912;40;77.94
14035;121;22.48
15948;126;40.21
13817;165;71.30
11848;73;94.21
14138;15;12.41
19037;92;22.47
16235;148;99.92
18783;29;18.63
13680;109;57.16
14654;26;34.27
14068;198;77.20
11326;65;58.05
14381;98;90.38
16981;90;56.53
11681;150;49.76
19918;143;29.48
12255;98;71.36
20994;23;78.28
16301;146;72.45
19062;144;12.94
12952;90;15.13
19868;103;60.86
13944;129;58.13
